Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Yu, X.-H., Cao, R.-R., Yang, Y.-Q., Zhang, L., Lei, S.-F., Deng, F.-Y.",57208734985;57225964798;57247601100;56004256200;7102453442;19640145800;,Systematic evaluation for the causal effects of blood metabolites on osteoporosis: Genetic risk score and Mendelian randomization,2022,Frontiers in Public Health,10,,905178,,,,8,10.3389/fpubh.2022.905178,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137721159&doi=10.3389%2ffpubh.2022.905178&partnerID=40&md5=43f7a81b3a3177a0fbf2d322d0bd908c,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85137721159
"Li, F., Liu, Y., Wang, Z., Zhao, Q., Li, Y., Tang, T.",56346736400;57223824532;57890236700;57891137900;56392967800;56828636500;,A mendelian randomization study with populations of European ancestry rules out a causal relationship between inflammatory bowel disease and colorectal cancer,2022,Frontiers in Genetics,13,,949325,,,,8,10.3389/fgene.2022.949325,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138033882&doi=10.3389%2ffgene.2022.949325&partnerID=40&md5=87380b9f361d7b2c790913c95f8d20df,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85138033882
"Shi, Y., Feng, S., Yan, M., Wei, S., Yang, K., Feng, Y.",57885903300;57885444600;57886133000;57886605500;57887066700;55430105400;,Inflammatory bowel disease and celiac disease: A bidirectional Mendelian randomization study,2022,Frontiers in Genetics,13,,928944,,,,8,10.3389/fgene.2022.928944,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137812546&doi=10.3389%2ffgene.2022.928944&partnerID=40&md5=0ce0bf37eaddb76f3ab89dca9b000ed2,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85137812546
"Chen, H., Chen, S., Ye, H., Guo, X.",57383861300;57861089500;57861377200;23389266200;,Protective Effects of Circulating TIMP3 on Coronary Artery Disease and Myocardial Infarction: A Mendelian Randomization Study,2022,Journal of Cardiovascular Development and Disease,9,8,277,,,,8,10.3390/jcdd9080277,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136615624&doi=10.3390%2fjcdd9080277&partnerID=40&md5=729fdc3034fdf220a8c2caba9e362055,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85136615624
"Chen, B.-B., Wang, J.-Q., Meng, X.-H., Luo, Z., Liu, X.-W., Shen, H., Xiao, H.-M., Deng, H.-W.",57435280400;57831982200;57200688433;57545674800;36025473700;36126870600;36893832900;34568563000;,Putative Candidate Drug Targets for Sarcopenia-Related Traits Identified Through Mendelian Randomization Analysis of the Blood Proteome,2022,Frontiers in Genetics,13,,923429,,,,8,10.3389/fgene.2022.923429,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135456838&doi=10.3389%2ffgene.2022.923429&partnerID=40&md5=d2a54591feb913139b6bee7aaf5cf710,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85135456838
"Ji, X., Hong, J., Qu, Z., Yang, W., Wang, Y., Lin, J., Li, C., Wang, J., Mou, H., Shi, M., Zhou, C., Wang, W., Lin, C., Yan, S., Wu, H.",57224169988;57201407439;57216836505;57754944800;57218557682;57741697200;57224166101;57224989191;57654623900;54950438700;56486466000;57192615637;57225936353;7401744616;9747749400;,HemoglobinA1c Is a Risk Factor for Changes of Bone Mineral Density: A Mendelian Randomization Study,2022,Frontiers in Endocrinology,13,,942878,,,,8,10.3389/fendo.2022.942878,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137008507&doi=10.3389%2ffendo.2022.942878&partnerID=40&md5=bb3db1e90e50659461275b4f0abe2d85,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85137008507
"Fu, L., Cheng, H., Zhao, X., Hou, D., Xie, X., Mi, J.",57196320859;55257507800;8729269300;8308875100;57194604023;55626885200;,Distinct causal effects of body fat distribution on cardiometabolic traits among children: Findings from the BCAMS study,2022,"Nutrition, Metabolism and Cardiovascular Diseases",32,7,,1753,1765,,8,10.1016/j.numecd.2022.03.030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130522868&doi=10.1016%2fj.numecd.2022.03.030&partnerID=40&md5=0e847bd39208eaf620e5f6b6a50dcd82,Article,Final,,Scopus,2-s2.0-85130522868
"Sheng, J., Liu, J., Chan, K.H.K.",59286912300;57274674700;36469789300;,"Evaluating the Causal Effects of Gestational Diabetes Mellitus, Heart Disease, and High Body Mass Index on Maternal Alzheimer’s Disease and Dementia: Multivariable Mendelian Randomization",2022,Frontiers in Genetics,13,,833734,,,,8,10.3389/fgene.2022.833734,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133682688&doi=10.3389%2ffgene.2022.833734&partnerID=40&md5=9bff75a64e09ceba511eec76805fef03,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85133682688
"Chen, L., Sun, X., He, Y., Zheng, L.",59050299200;57217350580;57201325467;8229152000;,Self-Reported Walking Pace and Risk of Cardiovascular Diseases: A Two-Sample Mendelian Randomization Study,2022,Frontiers in Genetics,13,,871302,,,,8,10.3389/fgene.2022.871302,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133512862&doi=10.3389%2ffgene.2022.871302&partnerID=40&md5=85ffbd18ef9daf11fe63dbb56a12c383,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85133512862
"Milaneschi, Y., Arnold, M., Kastenmüller, G., Dehkordi, S.M., Krishnan, R.R., Dunlop, B.W., Rush, A.J., Penninx, B.W.J.H., Kaddurah-Daouk, R.",57201570703;56350916100;6507055294;57221349893;56999806600;6701514141;7102696264;55800249300;26643092100;,Genomics-based identification of a potential causal role for acylcarnitine metabolism in depression,2022,Journal of Affective Disorders,307,,,254,263,,8,10.1016/j.jad.2022.03.070,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127768117&doi=10.1016%2fj.jad.2022.03.070&partnerID=40&md5=890a7aa6fc26f46228f23d4911973d33,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85127768117
"Daniel, N., Bouras, E., Tsilidis, K.K., Hughes, D.J.",57686472600;57192118135;12789243400;7403464450;,Genetically Predicted Circulating Concentrations of Micronutrients and COVID-19 Susceptibility and Severity: A Mendelian Randomization Study,2022,Frontiers in Nutrition,9,,842315,,,,8,10.3389/fnut.2022.842315,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130007589&doi=10.3389%2ffnut.2022.842315&partnerID=40&md5=65a7c9eaa4f1ba0b1acf8dafb6b24797,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85130007589
"Li, R., Chen, Z., Gui, L., Wu, Z., Miao, Y., Gao, Q., Diao, Y., Li, Y.",59286551800;57069179500;57219866915;57198578114;57207884292;57210023118;55810122600;57192523063;,Varicose Veins and Risk of Venous Thromboembolic Diseases: A Two-Sample-Based Mendelian Randomization Study,2022,Frontiers in Cardiovascular Medicine,9,,849027,,,,8,10.3389/fcvm.2022.849027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138504295&doi=10.3389%2ffcvm.2022.849027&partnerID=40&md5=73c561f5468903fbbe19f5fb2c8336c0,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85138504295
"Chen, D., Wu, H., Wang, X., Huang, T., Jia, J.",57575693300;57576548900;57216626713;56652837200;14832727700;,"Shared Genetic Basis and Causal Relationship Between Television Watching, Breakfast Skipping and Type 2 Diabetes: Evidence From a Comprehensive Genetic Analysis",2022,Frontiers in Endocrinology,13,,836023,,,,8,10.3389/fendo.2022.836023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128184074&doi=10.3389%2ffendo.2022.836023&partnerID=40&md5=2fc80a63d96d80b54213dd47f10a0fae,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85128184074
"Hu, T., Yang, F., He, K., Ying, J., Cui, H.",57445283700;57216837259;57445931700;57445494900;7201385629;,Association of mental health with the risk of coronary artery disease in patients with diabetes: A mendelian randomization study,2022,"Nutrition, Metabolism and Cardiovascular Diseases",32,3,,703,709,,8,10.1016/j.numecd.2022.01.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124319816&doi=10.1016%2fj.numecd.2022.01.004&partnerID=40&md5=f498a00366fdbf459c0f64979613c10a,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85124319816
"Lv, L., Ye, D., Chen, J., Qian, Y., Fu, A.N., Song, J., Yang, H., Liu, B., Sun, X., Du, L., Mao, Y.",57398144400;56754614200;57778693700;57211279584;57448655200;57398144300;59047066500;57221214273;57190171061;55161260500;55897373100;,Circulating phosphorus concentration and risk of prostate cancer: a Mendelian randomization study,2022,American Journal of Clinical Nutrition,115,2,,534,543,,8,10.1093/ajcn/nqab342,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124441008&doi=10.1093%2fajcn%2fnqab342&partnerID=40&md5=6d8a4209292e7677c070dee5548e2a01,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85124441008
"Grant, A.J., Gill, D., Kirk, P.D.W., Burgess, S.",57223638130;56890453400;56912979500;37080302300;,Noise-augmented directional clustering of genetic association data identifies distinct mechanisms underlying obesity,2022,PLoS Genetics,18,1,e1009975,,,,8,10.1371/journal.pgen.1009975,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123905747&doi=10.1371%2fjournal.pgen.1009975&partnerID=40&md5=48f8972831734e8d52c8f4f6795e3909,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85123905747
"Zhang, Y., Mao, Q., Li, Y., Cheng, J., Xia, Q., Chen, G., Chen, P., Jin, S., Li, D., Zhong, C., Yang, J., Fan, X., Liang, Y., Lin, H.",55928988700;56139640000;57208338446;57298905900;57223888741;57205234967;57299265400;57211467824;57204095920;57222760206;58864735900;57202431696;55479425000;56525556500;,Cancer and COVID-19 Susceptibility and Severity: A Two-Sample Mendelian Randomization and Bioinformatic Analysis,2022,Frontiers in Cell and Developmental Biology,9,,759257,,,,8,10.3389/fcell.2021.759257,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124250519&doi=10.3389%2ffcell.2021.759257&partnerID=40&md5=4f95852e8b145138c8a86af7a7e27566,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85124250519
"Duan, C., Shi, J., Yuan, G., Shou, X., Chen, T., Zhu, X., Yang, Y., Hu, Y.",57222096584;57207270150;57215356413;57302466500;57219669251;57219668885;57202060174;35292158600;,Causal Association Between Heart Failure and Alzheimer’s Disease: A Two-Sample Bidirectional Mendelian Randomization Study,2022,Frontiers in Genetics,12,,772343,,,,8,10.3389/fgene.2021.772343,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123436869&doi=10.3389%2ffgene.2021.772343&partnerID=40&md5=24fba84d9420e771eb2feea8ae511a8b,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85123436869
"Boddy, S., Islam, M., Moll, T., Kurz, J., Burrows, D., Mcgown, A., Bhargava, A., Julian, T.H., Harvey, C., Marshall, J.N.G., Hall, B.P.C., Allen, S.P., Kenna, K.P., Sanderson, E., Zhang, S., Ramesh, T., Snyder, M.P., Shaw, P.J., Mcdermott, C., Cooper-Knock, J.",55496912900;57713986100;57205733490;57219598736;57199861592;55856599300;57216801035;57203865512;57221329850;57413398300;47861142000;55746159900;37121958600;56707095100;56580715700;7006377883;57202452790;7401650160;57210226457;49460901400;,Unbiased metabolome screen leads to personalized medicine strategy for amyotrophic lateral sclerosis,2022,Brain Communications,4,2,fcac069,,,,8,10.1093/braincomms/fcac069,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137889613&doi=10.1093%2fbraincomms%2ffcac069&partnerID=40&md5=3cc3a1f3097d6d64a9174cb02545484c,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85137889613
"Chan, I.I., Kwok, M.K., Schooling, C.M.",57325428200;12806220300;12808565000;,Timing of Pubertal Development and Midlife Blood Pressure in Men and Women: A Mendelian Randomization Study,2022,Journal of Clinical Endocrinology and Metabolism,107,1,,E386,E393,,8,10.1210/clinem/dgab561,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122840305&doi=10.1210%2fclinem%2fdgab561&partnerID=40&md5=c67b1e958e3a4acf69b9bde0bc38039b,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85122840305
"Yuan, S., Bruzelius, M., Larsson, S.C.",56506115600;6506319863;7202349296;,Causal effect of renal function on venous thromboembolism: a two-sample Mendelian randomization investigation,2022,Journal of Thrombosis and Thrombolysis,53,1,,43,50,,8,10.1007/s11239-021-02494-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106749893&doi=10.1007%2fs11239-021-02494-4&partnerID=40&md5=acd810f1ce5364bb4614cf1151454c17,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85106749893
"Zhao, J.V., Schooling, C.M.",57125061000;12808565000;,Genetically predicted sex hormone binding globulin and ischemic heart disease in men and women: a univariable and multivariable Mendelian randomization study,2021,Scientific Reports,11,1,23172,,,,8,10.1038/s41598-021-02510-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120181599&doi=10.1038%2fs41598-021-02510-w&partnerID=40&md5=de9236d7337c449602616f724622dd60,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85120181599
"Kim, D.J., Ha, T.-W., Jung, H.U., Baek, E.J., Lee, W.J., Kim, H.K., Kang, J.-O., Won, S., Lim, J.E., Oh, B.",57224188274;57215865830;57221106668;57224193243;57226039506;57224202105;57061212300;57207796874;36017040700;8983899800;,Characterisation of insomnia as an environmental risk factor for asthma via Mendelian randomization and gene environment interaction,2021,Scientific Reports,11,1,21813,,,,8,10.1038/s41598-021-01291-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118654205&doi=10.1038%2fs41598-021-01291-6&partnerID=40&md5=bcd048e889d4cdaf89a3c511f5d2d147,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85118654205
"Thompson, W.D., Beaumont, R.N., Kuang, A., Warrington, N.M., Ji, Y., Tyrrell, J., Wood, A.R., Scholtens, D.M., Knight, B.A., Evans, D.M., Lowe, W.L., Santorelli, G., Azad, R., Mason, D., Hattersley, A.T., Frayling, T.M., Yaghootkar, H., Borges, M.C., Lawlor, D.A., Freathy, R.M.",57203212006;57156164500;57203865050;57200630008;57201475586;36149612100;36505189800;8546081800;57209842089;7601570762;7102817262;55653326700;8616262400;56909372000;7102760992;7003962934;57223117018;24330539000;7102452820;13410580600;,Higher maternal adiposity reduces offspring birthweight if associated with a metabolically favourable profile,2021,Diabetologia,64,12,,2790,2802,,8,10.1007/s00125-021-05570-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115189308&doi=10.1007%2fs00125-021-05570-9&partnerID=40&md5=5993b0906d1f032919fe4b64540a5fa6,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85115189308
"Yuan, S., Zheng, J.-S., Mason, A.M., Burgess, S., Larsson, S.C.",56506115600;55071387300;44961446200;37080302300;7202349296;,Genetically predicted circulating vitamin C in relation to cardiovascular disease,2021,European Journal of Preventive Cardiology,28,16,,1829,1837,,8,10.1093/eurjpc/zwab081,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114947253&doi=10.1093%2feurjpc%2fzwab081&partnerID=40&md5=b709e30bc72b8ace821dfa9d6f4d5391,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85114947253
"Sun, L., Zhu, J., Mi, S., Li, Y., Wang, T., Li, Y.",56062545200;57210950384;57209134430;57224963907;57224963459;55929093600;,Causal association of monounsaturated fatty acids with rheumatoid arthritis but not osteoarthritis: A two-sample Mendelian randomization study,2021,Nutrition,91-92,,111363,,,,8,10.1016/j.nut.2021.111363,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109438564&doi=10.1016%2fj.nut.2021.111363&partnerID=40&md5=ed91f1db7680bd6b9db62678d3f381c2,Article,Final,,Scopus,2-s2.0-85109438564
"Chen, J., Zhang, J., So, H.C., Ai, S., Wang, N., Tan, X., Wing, Y.K.",56061912600;35194900100;37031934700;56531557600;56637400700;56003722500;55667177400;,Association of Sleep Traits and Heel Bone Mineral Density: Observational and Mendelian Randomization Studies,2021,Journal of Bone and Mineral Research,36,11,,2184,2192,,8,10.1002/jbmr.4406,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109371925&doi=10.1002%2fjbmr.4406&partnerID=40&md5=b5d824f9ac9ff1dcc4bb420ca3d8ade1,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85109371925
"Jones, D.P., Wootton, R.E., Gill, D., Carter, A.R., Gunnell, D., Munafò, M.R., Sallis, H.M.",57194082505;57192066694;56890453400;57207568908;7006194937;7004859481;53984987000;,Mental health as a mediator of the association between educational inequality and cardiovascular disease: A mendelian randomization study,2021,Journal of the American Heart Association,10,17,e019340,,,,8,10.1161/JAHA.120.019340,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115999189&doi=10.1161%2fJAHA.120.019340&partnerID=40&md5=2a07975b5153b7b791958e461db499ed,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85115999189
"Wang, K., Zhong, Y., Yang, F., Hu, C., Liu, X., Zhu, Y., Yao, K.",56942089200;57210966804;57216837259;57218332399;57216218264;7406072985;57192106020;,Causal Effects of N-6 Polyunsaturated Fatty Acids on Age-related Macular Degeneration: A Mendelian Randomization Study,2021,Journal of Clinical Endocrinology and Metabolism,106,9,,E3565,E3572,,8,10.1210/clinem/dgab338,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114377926&doi=10.1210%2fclinem%2fdgab338&partnerID=40&md5=201f9fc6c8ed8b2ff2d0ba9407bc0cbf,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85114377926
"Jia, Y., Guo, D., Zhang, K., Yang, P., Zang, Y., Sun, L., Wang, Y., Liu, F., Shi, M., Zhang, Y., Zhu, Z.",57223372185;55918711000;57216359055;57221852666;57221844004;57223369926;57223375001;57212769157;57210434190;56712322800;57193694583;,Causal associations of serum matrix metalloproteinase-8 level with ischaemic stroke and ischaemic stroke subtypes: a Mendelian randomization study,2021,European Journal of Neurology,28,8,,2543,2551,,8,10.1111/ene.14878,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105731747&doi=10.1111%2fene.14878&partnerID=40&md5=cc13a0003775069cf5a9325176ef1545,Article,Final,,Scopus,2-s2.0-85105731747
"Huang, G., Zhong, Y., Li, W., Liao, W., Wu, P.",57226635157;57226653620;57211199290;7203056975;36547119700;,Causal Relationship Between Parathyroid Hormone and the Risk of Osteoarthritis: A Mendelian Randomization Study,2021,Frontiers in Genetics,12,,686939,,,,8,10.3389/fgene.2021.686939,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112199804&doi=10.3389%2ffgene.2021.686939&partnerID=40&md5=b95a268cd7abfdb925a6f7be08793872,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85112199804
"Ye, Z., Zheng, J.",57226093989;55673312100;,Verification of the Role of ADAMTS13 in the Cardiovascular Disease Using Two-Sample Mendelian Randomization,2021,Frontiers in Genetics,12,,660989,,,,8,10.3389/fgene.2021.660989,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110381090&doi=10.3389%2ffgene.2021.660989&partnerID=40&md5=3b07e86735f7243d7ae22d65d758d825,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85110381090
"Zhu, J., Sun, L., Yang, J., Fan, J., Tse, L.A., Li, Y.",57210950384;56062545200;57224848231;57214730260;7004824036;55929093600;,Genetic Predisposition to Type 2 Diabetes and Insulin Levels Is Positively Associated with Serum Urate Levels,2021,Journal of Clinical Endocrinology and Metabolism,106,7,,E2547,E2556,,8,10.1210/clinem/dgab200,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108386756&doi=10.1210%2fclinem%2fdgab200&partnerID=40&md5=b8170593bfb16007146ef7dcb9a38602,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85108386756
"Xu, F., Zhang, Q., Wang, L.-K., Tang, Q.-X., Sun, C.-Q., Deng, H.-W.",57193342257;57195592222;57193920582;58342038200;55538302300;34568563000;,Estimates of the effects of physical activity on osteoporosis using multivariable Mendelian randomization analysis,2021,Osteoporosis International,32,7,,1359,1367,,8,10.1007/s00198-020-05786-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099379472&doi=10.1007%2fs00198-020-05786-2&partnerID=40&md5=bd0b6de9d238e07300a801035749ba40,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85099379472
"Zhou, L., Wen, X., Peng, Y., Zhao, L., Yu, Y.",57190667255;56421129000;55309002800;55739485100;56953684500;,Salt added to food and body mass index: A bidirectional Mendelian randomisation study,2021,Nutrition and Dietetics,78,3,,315,323,,8,10.1111/1747-0080.12653,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099022311&doi=10.1111%2f1747-0080.12653&partnerID=40&md5=2ca1fc197957b863ef8ecb9138cb7cda,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85099022311
"Cheng, T.S., Day, F.R., Perry, J.R.B., Luan, J., Langenberg, C., Forouhi, N.G., Wareham, N.J., Ong, K.K.",56919008900;57203122743;57208094738;7005172964;58062162200;6603478414;34668706300;57216343734;,Prepubertal dietary and plasma phospholipid fatty acids related to puberty timing: Longitudinal cohort and mendelian randomization analyses,2021,Nutrients,13,6,1868,,,,8,10.3390/nu13061868,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106745742&doi=10.3390%2fnu13061868&partnerID=40&md5=afabf3d2067a86291e0242ec55c863da,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85106745742
"Majeed, M., Wiberg, A., Ng, M., Holmes, M.V., Furniss, D.",57219158912;26436376400;57195679374;35740512000;57200910420;,The relationship between body mass index and the risk of development of Dupuytren’s disease: a Mendelian randomization study,2021,Journal of Hand Surgery: European Volume,46,4,,406,410,,8,10.1177/1753193420958553,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091519771&doi=10.1177%2f1753193420958553&partnerID=40&md5=ad5c871ed1e6463aa513a049beee8f4e,Article,Final,,Scopus,2-s2.0-85091519771
"Nounu, A., Greenhough, A., Heesom, K.J., Richmond, R.C., Zheng, J., Weinstein, S.J., Albanes, D., Baron, J.A., Hopper, J.L., Figueiredo, J.C., Newcomb, P.A., Lindor, N.M., Casey, G., Platz, E.A., Le Marchand, L., Ulrich, C.M., Li, C.I., van Duijnhoven, F.J.B., Gsur, A., Campbell, P.T., Moreno, V., Vodicka, P., Vodickova, L., Brenner, H., Chang-Claude, J., Hoffmeister, M., Sakoda, L.C., Slattery, M.L., Schoen, R.E., Gunter, M.J., Castellví-Bel, S., Kim, H.R., Kweon, S.-S., Chan, A.T., Li, L., Zheng, W., Bishop, D.T., Buchanan, D.D., Giles, G.G., Gruber, S.B., Rennert, G., Stadler, Z.K., Harrison, T.A., Lin, Y., Keku, T.O., Woods, M.O., Schafmayer, C., van Guelpen, B., Gallinger, S., Hampel, H., Berndt, S.I., Pharoah, P.D.P., Lindblom, A., Wolk, A., Wu, A.H., White, E., Peters, U., Drew, D.A., Scherer, D., Bermejo, J.L., Williams, A.C., Relton, C.L.",57194422733;57208456692;6602654503;56118190500;57195956687;7202467316;7006558522;26642948500;7201924128;34569113100;57214767284;57203678176;57216592266;7004399130;7006229986;35411299700;35234072100;9743317700;6603891904;8267088400;7103038363;7004841464;7003998960;7201832825;7006409966;12798158700;6506900644;57200136681;7102066725;57212525623;57193218784;55943824800;7003824608;56446134500;56149391400;56393517800;57211357617;7203007859;57193910834;7101800850;7005198718;15738593800;57196615376;53264165800;6603754088;57210925326;15127848400;8616366600;34975072000;7102196402;8551151700;7102929844;7005502801;7005802145;57224753209;57208460351;55568520917;57206490241;23969347500;55665790900;9939706700;6603403494;,A combined proteomics and mendelian randomization approach to investigate the effects of aspirin-targeted proteins on colorectal cancer,2021,Cancer Epidemiology Biomarkers and Prevention,30,3,,564,575,,8,10.1158/1055-9965.EPI-20-1176,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099407187&doi=10.1158%2f1055-9965.EPI-20-1176&partnerID=40&md5=c094b09100c27e182c0a384315172d62,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85099407187
"Chen, M., Xu, Y., Xu, J., Chancoco, H., Gu, J.",55676477400;55658940100;57195485285;54580679600;34569668000;,Leukocyte telomere length and bladder cancer risk: A large case-control study and mendelian randomization analysis,2021,Cancer Epidemiology Biomarkers and Prevention,30,1,,203,209,,8,10.1158/1055-9965.EPI-20-0351,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101003716&doi=10.1158%2f1055-9965.EPI-20-0351&partnerID=40&md5=1da4a41cc89ef826ed81507fcf0f831a,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85101003716
"Zheng, K., Lin, L., Cui, P., Liu, T., Chen, L., Yang, C., Jiang, W.",57215064677;57448547300;57203843405;59280666100;57211737308;55706683600;59082656400;,Association of Fibroblast Growth Factor 23 With Ischemic Stroke and Its Subtypes: A Mendelian Randomization Study,2020,Frontiers in Genetics,11,,608517,,,,8,10.3389/fgene.2020.608517,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099071685&doi=10.3389%2ffgene.2020.608517&partnerID=40&md5=054d8431b4d8fc7f22b592225f47c31d,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85099071685
"Liu, Q., Pan, J., Berzuini, C., Rutter, M.K., Guo, H.",57198641782;55805574800;6603961382;7201521766;55480025500;,Integrative analysis of Mendelian randomization and Bayesian colocalization highlights four genes with putative BMI-mediated causal pathways to diabetes,2020,Scientific Reports,10,1,7476,,,,8,10.1038/s41598-020-64493-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084228661&doi=10.1038%2fs41598-020-64493-4&partnerID=40&md5=d7e503cf306ad73868129b032ca3f2d4,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85084228661
"Jones, H.J., Martin, D., Lewis, S.J., Davey Smith, G., O'Donovan, M.C., Owen, M.J., Walters, J.T.R., Zammit, S.",57213204597;57213252361;57198811524;57220145221;7103147367;36044041500;16023594900;6603745740;,A Mendelian randomization study of the causal association between anxiety phenotypes and schizophrenia,2020,"American Journal of Medical Genetics, Part B: Neuropsychiatric Genetics",183,6,,360,369,,8,10.1002/ajmg.b.32808,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087208965&doi=10.1002%2fajmg.b.32808&partnerID=40&md5=e993e11bf57ee8939a1f2bdfa65a4457,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85087208965
"Wang, X., Liu, Z., Liu, W.",57216735452;56575717600;7407341502;,Does Cannabis Intake Protect Against Non-alcoholic Fatty Liver Disease? A Two-Sample Mendelian Randomization Study,2020,Frontiers in Genetics,11,,949,,,,8,10.3389/fgene.2020.00949,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090011695&doi=10.3389%2ffgene.2020.00949&partnerID=40&md5=22f5243d570e9fc678f5565fab25c37f,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85090011695
"Wang, Y., Gao, L., Lang, W., Li, H., Cui, P., Zhang, N., Jiang, W.",57238113400;56105483400;57201337037;57211503674;57203843405;56975758800;59082656400;,Serum Calcium Levels and Parkinson’s Disease: A Mendelian Randomization Study,2020,Frontiers in Genetics,11,,824,,,,8,10.3389/fgene.2020.00824,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090055792&doi=10.3389%2ffgene.2020.00824&partnerID=40&md5=27abaf385e4acfcd4f5f4e2062c60c7d,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85090055792
